created_at,entry_id,motion detection,x-axis,y-axis,z-axis,total vibration,status_vibration,status_motion,Status_Error,IR SENSOR ERROR,VIBRATION SENSOR ERROR,FINAL ERROR STATUS
2025-06-09T14:40:53+05:30,1,1,-8.125164292,-1.693738775,4.213913122,0.43352129,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:41:12+05:30,2,0,-8.306913215,-1.981470277,4.288841044,0.245617811,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:41:31+05:30,3,0,-8.237615573,-2.233885125,3.972665996,0.390996242,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:41:50+05:30,4,1,-8.113848507,-1.902835099,4.166417244,0.410013656,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:42:09+05:30,5,0,-8.211707669,-2.037556996,4.273672605,0.3856426,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:42:27+05:30,6,0,-8.261706848,-2.097970415,4.147023053,0.344182012,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:42:42+05:30,7,1,-8.011039359,-1.945099584,4.115020938,0.484402941,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:43:02+05:30,8,0,-8.111628264,-1.933145046,4.331486621,0.411639696,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:43:36+05:30,9,0,-8.113473719,-1.680130264,4.490569828,0.403008476,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:43:51+05:30,10,1,-7.282871998,-0.232521163,5.462586836,0.621695725,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:44:06+05:30,11,0,-5.993170885,0.367806838,6.500938882,0.990680548,,,,NO ERROR,ERROR,ERROR
2025-06-09T14:44:25+05:30,12,0,-6.193286488,-0.17464526,6.916896596,0.592227452,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:44:41+05:30,13,1,-7.097901886,-1.255920363,5.83387276,0.486418134,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:44:57+05:30,14,0,-7.055664012,-0.135253781,5.924124859,0.637916396,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:45:13+05:30,15,0,-6.046245892,-0.014747484,7.100883073,0.583857115,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:45:28+05:30,16,1,-0.368114376,6.662387104,6.963574766,0.224692751,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:45:45+05:30,17,0,-3.430641556,2.256325469,8.087573814,0.740283924,,,,NO ERROR,ERROR,ERROR
2025-06-09T14:46:01+05:30,18,0,-1.364287633,4.493949708,7.597029461,0.874316898,,,,NO ERROR,ERROR,ERROR
2025-06-09T14:46:17+05:30,19,1,-0.915401204,3.538232647,8.319534796,0.743895257,,,,NO ERROR,ERROR,ERROR
2025-06-09T14:46:33+05:30,20,0,0.069384815,2.777257456,8.583676394,0.767892944,,,,NO ERROR,ERROR,ERROR
2025-06-09T14:46:49+05:30,21,0,0.243282438,2.680620079,8.852365885,0.552542811,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:47:05+05:30,22,1,0.568711185,3.085491036,8.7684795,0.557029598,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:47:22+05:30,23,1,0.44337641,3.011688844,8.658530463,0.580435495,,,,ERROR,NO ERROR,ERROR
2025-06-09T14:47:37+05:30,24,1,0.588762591,3.040689955,8.637826153,0.630938698,,,,ERROR,NO ERROR,ERROR
2025-06-09T14:47:54+05:30,25,1,0.822780864,3.100735617,8.623444625,0.55795534,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:48:09+05:30,26,0,-0.174453871,2.443508965,9.005712738,0.471042146,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:48:25+05:30,27,0,-0.257549679,1.662190574,9.088602872,0.573313539,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:48:41+05:30,28,1,-2.141215099,1.9326499,8.676890449,0.665280596,,,,NO ERROR,NO ERROR,NO ERROR
2025-06-09T14:48:58+05:30,29,0,-2.340031934,1.958193956,8.756217668,0.55914397,,,,NO ERROR,NO ERROR,NO ERROR
